Gene Profile Size	Taxon Profile Size	Semantic similarity
15	22	0.096137097
15	162	0.329889381
15	157	0.329889381
15	1029	0.3791923
15	34	0.065285297
15	20	0.065285297
15	275	0.424139706
15	27	0.260138402
15	18	0.034433497
15	4	0.096137097
15	71	0.065285297
15	22	0.034433497
15	8	0.065285297
15	11	0.096137097
15	285	0.3791923
15	314	0.50721203
15	48	0.45842185
15	28	0.294420545
15	3	0.034433497
15	114	0.213013239
15	2	0.065285297
15	83	0.3791923
15	14	0.065285297
15	2	0.065285297
15	31	0.096137097
15	378	0.523350231
15	23	0.554309711
15	19	0.508842194
15	10	0.377014543
15	25	0.260138402
15	52	0.424139706
15	136	0.3791923
15	82	0.45842185
15	209	0.45842185
15	84	0.401666003
15	48	0.50721203
15	148	0.492703993
15	18	0.377014543
15	102	0.45842185
15	10	0.094925766
15	96	0.424139706
15	8	0.260138402
15	15	0.260138402
15	78	0.492703993
15	1239	0.521720067
15	65	0.377014543
15	17	0.096137097
15	108	0.50721203
15	65	0.45842185
15	17	0.310558746
15	56	0.492703993
15	6	0.096137097
15	17	0.492703993
15	17	0.260138402
15	198	0.45842185
15	63	0.401666003
15	38	0.329889381
15	129	0.492703993
15	24	0.096137097
15	45	0.260138402
15	361	0.45842185
15	73	0.492703993
15	47	0.401666003
15	81	0.45842185
15	292	0.521720067
15	62	0.50721203
15	21	0.096137097
15	11	0.065285297
15	57	0.492703993
15	47	0.3791923
15	77	0.401666003
15	2	0.034433497
15	20	0.096137097
15	6	0.096137097
15	2	0
15	59	0.096137097
15	226	0.35454084
15	385	0.3791923
15	14	0.213013239
15	55	0.237664699
15	33	0.096137097
15	24	0.096137097
15	5	0.065285297
15	14	0.065285297
15	6	0.294420545
15	42	0.45842185
15	16	0.260138402
15	66	0.411296687
15	5	0.034433497
15	39	0.294420545
15	97	0.096137097
15	156	0.3791923
15	59	0.424139706
15	2	0.065285297
15	32	0.093714435
15	2	0.034433497
15	4	0.017216749
15	14	0.260138402
15	32	0.065285297
15	2	0.310558746
15	4	0.034433497
15	22	0.064073966
15	120	0.3791923
15	1058	0.35454084
15	9	0.294420545
15	2	0.065285297
15	4	0.096137097
15	6	0.034433497
15	4	0.096137097
15	48	0.260138402
15	87	0.424139706
15	26	0.424139706
15	11	0.096137097
15	46	0.096137097
15	92	0.35454084
15	22	0.096137097
15	34	0.093714435
15	4	0.065285297
15	181	0.35454084
15	506	0.45842185
15	203	0.424139706
15	312	0.45842185
15	70	0.45842185
15	432	0.563528459
15	6	0.065285297
15	35	0.492703993
15	164	0.45842185
15	60	0.424139706
15	631	0.521720067
15	248	0.50721203
15	29	0.329889381
15	45	0.492703993
15	34	0.524980396
15	24	0.096137097
15	55	0.424139706
15	11	0.213013239
15	96	0.424139706
15	17	0.329889381
15	87	0.401666003
15	367	0.602076522
15	139	0.492703993
15	16	0.260138402
15	40	0.492703993
15	12	0.065285297
15	117	0.377014543
15	88	0.523350231
15	16	0.294420545
15	17	0.524980396
15	592	0.3791923
15	19	0.096137097
15	185	0.492703993
15	283	0.424139706
15	57	0.35454084
15	34	0.237664699
15	20	0.329889381
15	25	0.310558746
15	244	0.424139706
15	264	0.521720067
15	159	0.401666003
15	12	0.034433497
15	78	0.260138402
15	2	0.034433497
15	234	0.424139706
15	13	0.260138402
15	18	0.329889381
15	45	0.424139706
15	50	0.260138402
15	4	0.310558746
15	6	0.006821266
15	89	0.213013239
15	122	0.435948147
15	19	0.093714435
15	55	0.377014543
15	14	0.094925766
15	157	0.377014543
15	165	0.3791923
15	2	0.096137097
15	72	0.093714435
15	14	0.492703993
15	43	0.065285297
15	178	0.424139706
15	69	0.401666003
15	14	0.237664699
15	79	0.424139706
15	36	0.064073966
15	4	0.034433497
15	48	0.094925766
15	38	0.411296687
15	25	0.45842185
15	5	0.051479181
15	47	0.096137097
15	6	0.096137097
15	44	0.3791923
15	10	0.294420545
15	21	0.096137097
15	300	0.3791923
15	16	0.096137097
15	166	0.096137097
15	103	0.294420545
15	179	0.096137097
15	11	0.424139706
15	8	0.096137097
15	6	0.096137097
15	74	0.377014543
15	105	0.3791923
15	14	0.260138402
15	2	0.003410633
15	44	0.260138402
15	6	0.065285297
15	52	0.401666003
15	7	0.096137097
15	4	0.034433497
15	21	0.294420545
15	10	0.096137097
15	8	0.034433497
15	8	0.065285297
15	6	0.096137097
15	18	0.065285297
15	6	0.065285297
15	11	0.034433497
15	21	0.096137097
15	86	0.096137097
15	4	0.065285297
15	48	0.096137097
15	6	0.065285297
15	9	0.294420545
15	332	0.424139706
15	2	0.017216749
15	12	0.260138402
15	38	0.213013239
15	40	0.260138402
15	80	0.424139706
15	2	0.006821266
15	15	0.096137097
15	13	0.521720067
15	9	0.424139706
15	37	0.3791923
15	85	0.377014543
15	135	0.492703993
15	7	0.065285297
15	54	0.401666003
15	196	0.3791923
15	228	0.521720067
15	317	0.424139706
15	166	0.45842185
15	98	0.45842185
15	38	0.424139706
15	75	0.45842185
15	7	0.065285297
15	27	0.213013239
15	77	0.45842185
15	5	0.020627381
15	45	0.424139706
15	2	0.096137097
15	26	0.492703993
15	133	0.424139706
15	65	0.377014543
15	2	0.096137097
15	48	0.093714435
15	141	0.401666003
15	71	0.492703993
15	3	0.034433497
15	54	0.424139706
15	23	0.034433497
15	6	0.017216749
15	2	0.096137097
15	2	0.017216749
15	10	0.065285297
15	2	0.017216749
15	14	0.096137097
15	253	0.401666003
15	28	0.065285297
15	16	0.294420545
15	36	0.096137097
15	4	0.096137097
15	62	0.094925766
15	6	0.017216749
15	57	0.065285297
15	16	0.096137097
15	103	0.096137097
15	18	0.065285297
15	96	0.096137097
15	41	0.065285297
15	2	0.012585288
15	376	0.424139706
15	37	0.329889381
15	20	0.096137097
15	31	0.096137097
15	4	0.020627381
15	4	0.034433497
15	5	0.034433497
15	2	0.034433497
15	4	0.017216749
15	13	0.096137097
15	24	0.294420545
15	21	0.034433497
